repo name,user name,stars count,repo url
flutter,flutter,159000,https://github.com/flutter
react-native,facebook,114000,https://github.com/facebook
free-programming-books-zh_CN,justjavac,107000,https://github.com/justjavac
scrcpy,Genymobile,97000,https://github.com/Genymobile
Awesome-Hacking,Hack-with-Github,73600,https://github.com/Hack-with-Github
awesome-flutter,Solido,49900,https://github.com/Solido
material-design-icons,google,49300,https://github.com/google
awesome-android-ui,wasabeef,48300,https://github.com/wasabeef
okhttp,square,44900,https://github.com/square
architecture-samples,android,43500,https://github.com/android
